epoch,phase,train_loss,lr_last_backbone_stage,lr_decoder,val_loss,iou,dice,precision,recall,true_positive_pixels,false_positive_pixels,false_negative_pixels,valid_pixels,skipped_batches
1,1,0.09003978515309947,5e-06,5e-05,0.051322865299880505,0.92895421391551,0.9631687545655753,0.9799157529270173,0.9469845583230156,706727,14485,39565,3538944,0
2,1,0.062255050987005234,4.992293334332821e-06,4.99229333433282e-05,0.04207701701670885,0.9356388659772011,0.9667494101538893,0.9857451818965481,0.9484719117985989,707837,10236,38455,3538944,0
3,1,0.04374358132481575,4.9692208514878445e-06,4.9692208514878444e-05,0.03780525488158067,0.9426226585292731,0.9704639801153322,0.9849970328047586,0.9563535452611043,713719,10871,32573,3538944,0
4,1,0.04160206546740872,4.930924800994191e-06,4.9309248009941914e-05,0.03489678849776586,0.9459211586791756,0.972209130323897,0.9871188800178985,0.9577430817964014,714756,9327,31536,3538944,0
5,1,0.03638074376753398,4.877641290737884e-06,4.8776412907378836e-05,0.033710286021232605,0.9476604766391751,0.9731269777311801,0.9871354977274827,0.9595104865119819,716075,9332,30217,3538944,0
6,1,0.034075476282409256,4.809698831278216e-06,4.809698831278216e-05,0.03334271969894568,0.9485859649820141,0.9736146949932175,0.9883174377047347,0.9593429917512181,715950,8463,30342,3538944,0
7,1,0.037056340862597736,4.727516310470918e-06,4.7275163104709186e-05,0.0318708848208189,0.9510993698959719,0.9749368838622323,0.9882927903743168,0.961937150605929,717886,8504,28406,3538944,0
8,1,0.03234088697603771,4.631600410885229e-06,4.63160041088523e-05,0.03121614083647728,0.9519940211169062,0.9754066977850551,0.9884918931413664,0.9626634078886013,718428,8364,27864,3538944,0
9,1,0.029496609206710545,4.5225424859373675e-06,4.522542485937368e-05,0.031134429077307384,0.9519876021773079,0.9754033285000696,0.988936063557729,0.9622359612591318,718109,8034,28183,3538944,0
10,1,0.027988122935806003,4.401014914000077e-06,4.401014914000077e-05,0.030127783461163442,0.9539644722649925,0.9764399361460016,0.9884858620225669,0.9646840646824567,719936,8386,26356,3538944,0
11,1,0.027589333270277294,4.267766952966368e-06,4.267766952966368e-05,0.029406748712062836,0.9541668435688964,0.97654593486634,0.9897878712390945,0.9636536369142373,719167,7420,27125,3538944,0
12,1,0.025580435352666037,4.123620120825459e-06,4.123620120825459e-05,0.02931152004748583,0.9549765263818013,0.9769698136982102,0.9890710757692059,0.9651610897611123,720292,7959,26000,3538944,0
13,1,0.025381793028541974,3.969463130731182e-06,3.969463130731182e-05,0.029489358887076378,0.9543252457450618,0.9766288879732886,0.9896304631625574,0.9639645071902151,719399,7538,26893,3538944,0
14,1,0.027135322003492286,3.8062464117898713e-06,3.806246411789871e-05,0.028824382461607456,0.9553524426805773,0.9771664911425298,0.989209694936012,0.9654130018813012,720480,7859,25812,3538944,0
